subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0067,1,0,v,a,0.0,
MTK0067,1,0,a,v,0.375,0.0
MTK0067,1,0,a,a,0.0,
MTK0068,1,0,v,v,0.14285714285714285,
MTK0068,1,0,v,a,0.0,
MTK0068,1,0,a,v,0.0,
MTK0068,1,0,a,a,0.0,
MTK0069,1,0,v,v,0.0,
MTK0069,1,0,v,a,0.0,
MTK0069,1,0,a,v,0.14285714285714285,1.0
MTK0069,1,0,a,a,0.0,
MTK0070,1,0,v,v,0.0,
MTK0070,1,0,v,a,0.0,
MTK0070,1,0,a,v,0.0,
MTK0070,1,0,a,a,0.0,
MTK0071,1,0,v,v,0.2857142857142857,0.5
MTK0071,1,0,v,a,0.14285714285714285,1.0
MTK0071,1,0,a,v,0.125,
MTK0071,1,0,a,a,0.14285714285714285,0.0
MTK0072,1,0,v,v,0.0,
MTK0072,1,0,v,a,0.0,
MTK0072,1,0,a,v,0.0,
MTK0072,1,0,a,a,0.0,
MTK0073,1,0,v,v,0.0,
MTK0073,1,0,v,a,0.2857142857142857,0.0
MTK0073,1,0,a,v,0.0,
MTK0073,1,0,a,a,0.0,
MTK0074,1,0,v,v,0.14285714285714285,1.0
MTK0074,1,0,v,a,0.0,
MTK0074,1,0,a,v,0.2857142857142857,0.0
MTK0074,1,0,a,a,0.0,
MTK0075,1,0,v,v,0.0,
MTK0075,1,0,v,a,0.0,
MTK0075,1,0,a,v,0.14285714285714285,1.0
MTK0075,1,0,a,a,0.2857142857142857,0.3333333333333333
MTK0076,1,0,v,v,0.0,
MTK0076,1,0,v,a,0.0,
MTK0076,1,0,a,v,0.0,
MTK0076,1,0,a,a,0.0,
MTK0077,1,0,v,v,0.2857142857142857,0.4444444444444445
MTK0077,1,0,v,a,0.16666666666666666,0.0
MTK0077,1,0,a,v,0.125,0.0
MTK0077,1,0,a,a,0.0,
MTK0078,1,0,v,v,0.0,
MTK0078,1,0,v,a,0.16666666666666666,0.0
MTK0078,1,0,a,v,0.125,0.0
MTK0078,1,0,a,a,0.0,
MTK0079,1,0,v,v,0.0,
MTK0079,1,0,v,a,0.0,
MTK0079,1,0,a,v,0.0,
MTK0079,1,0,a,a,0.0,
MTK0080,1,0,v,v,0.0,
MTK0080,1,0,v,a,0.0,
MTK0080,1,0,a,v,0.14285714285714285,0.0
MTK0080,1,0,a,a,0.0,
MTK0081,1,0,v,v,0.14285714285714285,0.0
MTK0081,1,0,v,a,0.0,
MTK0081,1,0,a,v,0.0,
MTK0081,1,0,a,a,0.2857142857142857,0.5
MTK0082,1,0,v,v,0.14285714285714285,0.0
MTK0082,1,0,v,a,0.0,
MTK0082,1,0,a,v,0.14285714285714285,0.0
MTK0082,1,0,a,a,0.14285714285714285,1.0
MTK0083,1,0,v,v,0.0,
MTK0083,1,0,v,a,0.14285714285714285,0.0
MTK0083,1,0,a,v,0.0,
MTK0083,1,0,a,a,0.0,
MTK0085,1,0,v,v,0.14285714285714285,0.0
MTK0085,1,0,v,a,0.0,
MTK0085,1,0,a,v,0.0,
MTK0085,1,0,a,a,0.2857142857142857,0.5714285714285715
MTK0086,1,0,v,v,0.14285714285714285,0.0
MTK0086,1,0,v,a,0.0,
MTK0086,1,0,a,v,0.0,
MTK0086,1,0,a,a,0.14285714285714285,0.0
MTK0087,1,0,v,v,0.2857142857142857,0.0
MTK0087,1,0,v,a,0.125,0.0
MTK0087,1,0,a,v,0.0,
MTK0087,1,0,a,a,0.0,
MTK0088,1,0,v,v,0.0,
MTK0088,1,0,v,a,0.0,
MTK0088,1,0,a,v,0.0,
MTK0088,1,0,a,a,0.14285714285714285,0.0
MTK0089,1,0,v,v,0.0,
MTK0089,1,0,v,a,0.0,
MTK0089,1,0,a,v,0.125,0.0
MTK0089,1,0,a,a,0.0,
MTK0090,1,0,v,v,0.0,
MTK0090,1,0,v,a,0.0,
MTK0090,1,0,a,v,0.0,
MTK0090,1,0,a,a,0.14285714285714285,1.0
MTK0091,1,0,v,v,0.0,
MTK0091,1,0,v,a,0.0,
